utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB], memory.total [MiB]
0, 0, 4, 40334, 40960
0, 0, 24, 40315, 40960
8, 0, 25, 40313, 40960
8, 0, 439, 39899, 40960
2, 0, 439, 39899, 40960
2, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
